nemotecnico;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social;moneda
BISG5219C020;20210519;20410519;TV;4.45;ISG;ISAGEN S.A. E.S.P.;COP
BISG5219C008;20210519;20290519;TV;3.35;ISG;ISAGEN S.A. E.S.P.;COP
BISG420SA008;20200827;20280827;TV;6.26;ISG;ISAGEN S.A. E.S.P.;COP
BISG319SA008;20190606;20270606;TV;6.98;ISG;ISAGEN S.A. E.S.P.;COP
BISG319SA004;20190606;20230606;TV;6.09;ISG;ISAGEN S.A. E.S.P.;COP
BISG118SA007;20180227;20250227;TV;7.12;ISG;ISAGEN S.A. E.S.P.;COP
BISG1099A15;20090915;20240915;SV;6.99;ISG;ISAGEN S.A. E.S.P.;COP
BISA1189C025;20180725;20430725;TV;4.07;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BISA1189C009;20180725;20270725;TV;3.49;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BISA117SA008;20171128;20251128;TV;6.99;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BISA117SA007;20170418;20240418;TV;6.75;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BISA10169C08;20160216;20240216;TV;4.73;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BISA09159C20;20150507;20350507;TV;4.34;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BISA09159C15;20150507;20300507;TV;4.14;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BISA09159C10;20150507;20250507;TV;3.8;ISA;INTERCONEXION ELECTRICA S.A. E.S.P.;COP
BGLT40150261;20210122;20610215;SV;3.875;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT32180141;20090718;20410118;SV;6.125;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT31180937;20060918;20370918;SV;7.375;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT31150551;20200604;20510515;SV;4.125;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT30280133;20030128;20330128;SV;10.375;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT30260244;20140226;20440226;SV;5.625;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT30150645;20150615;20450615;SV;5;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT30150549;20190128;20490515;SV;5.2;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT21220242;20210422;20420222;SV;4.125;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT20280627;20070628;20270628;AV;9.85;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT20210524;20040521;20240521;SV;8.125;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT11220432;20210422;20320422;SV;3.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT11210323;20120921;20230321;AV;4.375;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT11150431;20200604;20310415;SV;3.125;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT10300130;20200130;20300130;SV;3;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT10280126;20160128;20260128;SV;4.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT10260224;20140226;20240226;SV;4;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT10250427;20170425;20270425;SV;3.875;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT10220326;20160322;20260322;AV;3.875;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT10150329;20181012;20290315;SV;4.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGLT10150323;20130129;20230315;SV;2.625;GNA;GOBIERNO REPUBLICA DE COLOMBIA;USD
BGEB1209C007;20200625;20270625;TV;3.24;EEB;GRUPO ENERGIA BOGOTA S.A. E.S.P. GEB;COP
BGBO1209A005;20201027;20251027;TV;1.65;SOB;GRUPO BOLIVAR S.A.;COP
BGAA5169A010;20161124;20261124;TV;3.86;GAA;GRUPO AVAL ACCIONES Y VALORES S.A.;COP
BGAA119SC05;20191114;20241114;TV;6.42;GAA;GRUPO AVAL ACCIONES Y VALORES S.A.;COP
BGAA1099A15;20091203;20241203;TV;5.2;GAA;GRUPO AVAL ACCIONES Y VALORES S.A.;COP
BFDT1179A007;20170426;20240426;TV;3.57;FDT;FINANCIERA DE DESARROLLO TERRITORIAL S.A.;COP
BFDN1209B010;20201001;20301001;TV;2.7;FDN;FINANCIERA DE DESARROLLO NACIONAL S.A.;COP
BFDN1209B005;20201001;20251001;TV;1.66;FDN;FINANCIERA DE DESARROLLO NACIONAL S.A.;COP
BFDN1208D003;20201001;20231001;MV;1.2;FDN;FINANCIERA DE DESARROLLO NACIONAL S.A.;COP
BFDN1207F015;20201001;20351001;AV;3.27;FDN;FINANCIERA DE DESARROLLO NACIONAL S.A.;COP
BFAN921SA024;20210420;20230420;TV;4.32;FAN;BANCO FINANDINA S.A.;COP
BFAN9219C036;20210420;20240420;TV;1.88;FAN;BANCO FINANDINA S.A.;COP
BEPT221SA007;20210216;20280216;TV;5.56;EPT;UNE EPM TELECOMUNICACIONES;COP
BEPT0116SC08;20160526;20240526;TV;9.35;EPT;UNE EPM TELECOMUNICACIONES;COP
BEPT01169A10;20160526;20260526;TV;4.15;EPT;UNE EPM TELECOMUNICACIONES;COP
BEPM1099A15;20090421;20240421;TV;6.24;EPM;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;COP
BEPM07159A20;20150319;20350319;TV;4.43;EPM;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;COP
BEPM05139A10;20131204;20231204;TV;4.52;EPM;EMPRESAS PUBLICAS DE MEDELLIN E.S.P.;COP
BEMG1099B15;20090211;20240211;TV;6.09;CHB;ENEL COLOMBIA S.A. E.S.P.;COP
BEEP3209C007;20200420;20270420;TV;3.96;EEP;CELSIA COLOMBIA S.A. E.S.P.;COP
BEEP2199C020;20190424;20390424;TV;3.93;EEP;CELSIA COLOMBIA S.A. E.S.P.;COP
BEEP2199C007;20190424;20260424;TV;3.24;EEP;CELSIA COLOMBIA S.A. E.S.P.;COP
BEEP01109C20;20100421;20300421;TV;6.08;EEP;CELSIA COLOMBIA S.A. E.S.P.;COP
BEEB1179A007;20170228;20240228;TV;3.19;EEB;GRUPO ENERGIA BOGOTA S.A. E.S.P. GEB;COP
BECO1139C30;20130827;20430827;SV;5.15;ECO;ECOPETROL S.A.;COP
BDVI920SF084;20200211;20270211;TV;6.24;DVI;BANCO DAVIVIENDA S.A;COP
BDVI920SF060;20200211;20250211;TV;6.04;DVI;BANCO DAVIVIENDA S.A;COP
BDVI9159C120;20150513;20250513;TV;4.14;DVI;BANCO DAVIVIENDA S.A;COP
BDVI819SF084;20190926;20260926;TV;6.18;DVI;BANCO DAVIVIENDA S.A;COP
BDVI819SF048;20190926;20230926;TV;5.75;DVI;BANCO DAVIVIENDA S.A;COP
BDVI719SF060;20190716;20240716;TV;6.04;DVI;BANCO DAVIVIENDA S.A;COP
BDVI7199C120;20190716;20290716;TV;3.03;DVI;BANCO DAVIVIENDA S.A;COP
