fecha_hora;nemotecnico;cantidad;monto;precio_limpio;tasa;rueda;fecha_emision;fecha_vencimiento;periodicidad;tasa_cupon;codigo_emisor;razon_social
2022-09-14:12:22:54.002607;TFIT16300632;50000000000;35223750000;68.99;12.695;TRD;20160630;20320630;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:22:46.002606;TFIT16300632;50000000000;35223750000;68.99;12.695;TRD;20160630;20320630;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:18:45.990421;BFDN1209B005;2500000000;2274725000;88.838;17.934;TRD;20201001;20251001;TV;1.66;FDN;FINANCIERA DE DESARROLLO NACIONAL S.A.
2022-09-14:12:18:41.002564;TUVT11070525;100000000;31675207844;99.452;3.715;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:17:14.002545;TUVT18250237;800000;203678193;78.874;5.97;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:16:28.002536;TFIT15260826;12000000000;10296918849;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:16:28.002535;TFIT15260826;12000000000;10294488000;85.397;12.39;TRD;20110826;20260826;AV;7.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:08:50.002447;TUVT20040435;200000000;57676857278;89.559;5.95;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:07:47.002438;TFIT21280542;8500000000;6601380500;74.901;12.77;TRD;20210528;20420528;AV;9.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:07:34.002433;TFIT16240724;30500000000;30010078500;96.969;11.87;TRD;20080724;20240724;AV;10;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:06:25.990393;BDVI920SF084;5000000000;3652550000;72.482;15.51;TRD;20200211;20270211;TV;6.24;DVI;BANCO DAVIVIENDA S.A
2022-09-14:12:06:17.002418;TUVT20040435;150000000;43257642958;89.559;5.95;TRD;20150404;20350404;AV;4.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:04:55.990389;BFDN1209B005;2500000000;2274725000;88.838;17.934;TRD;20201001;20251001;TV;1.66;FDN;FINANCIERA DE DESARROLLO NACIONAL S.A.
2022-09-14:12:03:24.990378;BBOC217SA060;340000000;336399400;98.941;11.3;TRD;20171214;20221214;TV;6.65;BOC;BANCO DE OCCIDENTE S.A.
2022-09-14:12:01:41.002351;TUVT11070525;40000000;12668573275;99.44;3.72;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:12:00:08.990373;BFDN1209B005;2500000000;2273150000;88.775;17.967;TRD;20201001;20251001;TV;1.66;FDN;FINANCIERA DE DESARROLLO NACIONAL S.A.
2022-09-14:11:57:18.002314;TUVT10180429;1500000;398214485;83.479;5.28;TRD;20190418;20290418;AV;2.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:55:34.990362;BDVI920SF084;5000000000;3653750000;72.506;15.5;TRD;20200211;20270211;TV;6.24;DVI;BANCO DAVIVIENDA S.A
2022-09-14:11:55:26.002295;TFIT10260331;2000000000;1494812000;71.442;12.64;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:54:58.002291;TUVT11070525;40000000;12671718821;99.465;3.71;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:52:59.002269;TFIT10260331;500000000;374313000;71.564;12.61;TRD;20210326;20310326;AV;7;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:52:57.002267;TUVT18250237;10543000;2690127287;79.037;5.95;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:52:57.002266;TUVT18250237;10543000;2689628675;79.037;5.95;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:52:50.002262;TUVT18250237;8789000;2242580980;79.037;5.95;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:52:50.002261;TUVT18250237;8789000;2242165320;79.037;5.95;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:52:31.002260;TUVT18250237;20000000;5085787975;78.776;5.982;TRD;20190225;20370225;AV;3.75;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:51:51.002248;TUVT11070525;5000000;1585690853;99.452;3.715;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:51:51.002247;TUVT11070525;5000000;1583760392;99.452;3.715;TRD;20140507;20250507;AV;3.5;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:51:42.002246;TUVT10180429;5000000;1325069116;83.332;5.31;TRD;20190418;20290418;AV;2.25;GNA;GOBIERNO REPUBLICA DE COLOMBIA
2022-09-14:11:50:53.002219;TFIT16280428;10000000000;7689990000;74.615;12.54;TRD;20120428;20280428;AV;6;GNA;GOBIERNO REPUBLICA DE COLOMBIA
