ACN;AMT;AMZN;APD;AVB;AZO;BALL;BLK;CBRE;CDW;CF;CHRW;CNC;CSX;DGX;EA;FDS;FDX;GE;GL;GM;HAS;HBAN;HPQ;IDXX;ILMN;IVZ;KEYS;MCHP;MCO;NEM;NVR;NWSA;PEAK;PGR;PHM;PLD;REG;RHI;ROL;SEE;SJM;SNA;STX;TRV;UAL;USB;VLO;VRSK;YUM
131.176;129.831;55.264;140.83;153.613;589.5;41.068;415.122;39.32;66.13;33.148;69.853;46.835;15.76;84.343;118.355;180.594;210.948;147.459;80.585;38.706;80.163;11.118;18.56;166.17;205.19;28.244;44.67;43.971;136.005;31.409;3281.37;12.813;20.409;41.16;28.358;56.873;50.394;46.972;18.395;40.996;91.31;139.472;29.401;117.82;58.48;46.02;62.765;82.981;68.189
137.703;130.066;58.838;144.917;153.613;686.76;38.179;441.89;43.36;66.139;32.703;77.076;51.045;17.423;88.98;105.243;190.115;216.226;133.781;85.265;38.805;81.019;11.602;18.473;156.41;230.03;28.544;43.5;40.349;144.991;32.13;3475.0;15.158;20.883;44.993;32.016;58.326;55.519;51.754;19.417;44.537;100.454;149.77;30.665;120.595;63.32;46.671;68.119;94.074;76.45
142.429;128.927;58.473;145.841;151.14;711.37;36.3;452.928;43.31;65.856;37.429;79.246;50.44;17.258;89.007;103.966;183.86;233.116;127.637;87.05;36.914;79.164;11.731;18.095;156.38;218.49;29.076;41.6;40.924;141.337;32.59;3508.22;15.205;20.885;47.649;31.19;56.811;57.091;50.613;19.586;45.851;107.785;154.885;33.273;120.658;67.4;45.343;73.747;93.664;75.029
149.509;134.139;72.545;150.523;145.511;765.44;36.713;497.812;45.69;70.879;37.341;81.793;53.62;17.81;95.631;125.638;191.424;245.718;119.091;87.184;38.54;82.369;13.136;20.216;187.04;232.64;28.75;46.72;44.342;154.914;35.261;3178.17;16.049;19.283;45.771;29.937;57.725;51.917;52.746;20.769;44.037;110.084;152.228;44.551;134.08;67.82;48.625;77.004;97.616;77.769
149.798;126.537;75.622;143.746;133.231;664.72;38.314;486.851;46.75;69.116;36.285;83.492;50.71;16.853;93.549;122.412;193.799;230.674;103.919;82.062;35.759;83.746;12.746;20.277;187.23;228.02;25.893;47.01;41.413;159.788;33.251;2843.17;15.13;17.329;48.715;26.401;53.798;47.955;52.007;21.16;39.406;109.572;141.485;43.098;124.314;67.79;46.259;72.551;99.704;74.817
142.811;131.996;72.367;142.173;140.439;648.69;38.179;480.019;47.22;66.83;33.45;83.805;53.435;17.548;91.053;119.978;190.73;224.777;100.101;80.908;33.024;73.871;12.259;19.002;191.39;236.42;25.701;52.39;42.731;154.853;34.008;2800.0;14.82;18.909;52.644;27.737;55.846;49.145;53.013;21.543;39.796;108.291;131.106;47.23;124.188;69.47;42.975;75.118;101.47;78.628
140.671;123.84;78.307;146.103;140.477;624.52;38.545;464.555;45.31;67.761;34.398;82.71;54.29;18.707;91.87;116.752;180.869;231.896;104.482;83.378;33.727;77.192;12.189;18.739;194.49;240.93;23.26;51.68;39.129;155.717;34.323;3100.0;15.08;19.015;52.091;28.642;57.987;49.037;55.632;20.484;40.937;99.619;129.739;47.214;118.309;67.54;43.192;89.822;103.86;80.447
146.173;126.327;81.481;145.311;142.666;649.32;35.526;475.895;46.19;76.088;36.473;78.189;58.58;20.364;97.205;129.547;192.25;233.697;104.557;81.698;39.198;76.57;12.156;19.21;208.21;272.44;21.935;58.74;45.546;163.752;34.009;2990.54;14.184;19.512;53.647;28.538;57.487;48.395;58.315;21.012;40.666;93.873;132.035;45.958;115.54;69.59;42.798;98.138;103.655;75.118
153.541;131.622;84.99;140.198;148.139;670.93;34.271;444.548;47.74;76.993;39.664;75.576;61.605;20.159;100.317;139.552;190.074;213.003;101.066;78.404;36.169;81.477;12.066;19.785;217.94;279.29;21.556;59.03;42.705;164.164;32.943;2970.35;14.627;21.354;51.106;27.123;58.684;52.23;59.877;22.26;39.772;94.504;144.337;46.056;109.984;69.73;42.824;90.365;105.021;72.558
149.543;136.095;88.872;148.845;153.746;705.53;37.568;450.289;49.8;80.137;39.682;83.318;65.165;22.339;98.291;127.41;193.202;231.258;102.113;84.818;35.105;87.92;12.712;20.242;244.93;324.36;21.905;58.0;43.87;164.703;32.16;2759.43;14.221;21.42;51.849;26.957;59.054;53.534;69.682;23.259;41.289;97.704;152.303;43.38;117.7;80.4;45.658;96.496;107.929;73.55
158.685;136.902;100.635;150.767;159.345;766.88;40.373;429.062;48.81;83.444;46.409;86.796;73.24;23.439;100.808;112.229;220.096;229.452;96.944;84.839;33.382;88.216;13.346;21.619;254.04;354.83;19.559;64.89;40.395;171.344;27.206;2668.45;12.334;22.354;58.347;26.446;60.458;55.554;71.908;25.436;37.579;90.899;158.76;44.138;119.02;87.42;46.606;96.113;116.192;80.6
159.745;133.395;100.15;151.456;157.484;775.7;42.509;422.139;44.1;84.948;48.936;88.459;72.39;23.474;98.911;119.236;215.253;226.48;84.582;83.652;31.178;93.377;12.284;22.602;249.66;367.06;18.795;66.28;37.215;161.344;26.478;2470.8;12.447;22.081;61.379;23.437;61.007;54.894;64.969;25.758;37.617;90.908;165.673;39.035;117.311;89.06;45.486;93.393;117.617;84.691
147.938;143.834;79.9;140.861;153.736;733.47;43.291;370.909;40.29;85.989;43.174;80.813;65.16;21.828;86.262;90.033;215.301;207.794;76.388;81.694;34.251;81.465;11.904;21.292;212.12;311.15;17.834;57.08;31.023;140.384;27.238;2239.03;12.547;23.113;60.222;23.325;58.434;53.782;55.876;25.125;30.439;95.967;138.909;33.607;113.83;85.51;45.334;74.789;116.924;84.226
155.825;151.846;84.508;146.811;167.052;809.07;47.456;385.865;43.68;88.54;37.925;83.808;71.125;23.024;81.568;83.195;225.625;215.96;56.724;83.536;35.524;81.393;12.12;20.287;203.76;337.5;16.717;61.82;35.371;153.498;28.489;2450.0;12.347;24.547;57.275;25.177;61.035;54.037;57.076;26.976;34.361;92.591;150.008;35.996;118.597;96.7;47.233;65.601;120.32;85.912
133.558;146.031;75.099;146.063;152.571;838.34;44.521;354.14;40.04;77.694;39.35;76.329;57.65;19.755;76.687;78.089;193.09;152.144;57.253;72.051;31.312;72.672;9.902;18.046;186.02;299.93;13.943;62.08;34.087;135.537;30.524;2436.99;10.796;23.744;52.126;24.674;53.222;50.238;53.054;23.052;32.771;83.451;131.862;32.237;108.936;83.73;39.636;62.146;106.387;85.988
145.435;160.432;85.937;151.058;170.558;847.34;50.622;377.096;45.75;79.822;39.476;79.228;65.285;20.89;80.444;91.28;210.939;167.967;76.948;80.974;36.91;80.999;11.127;19.57;212.78;279.79;15.176;74.02;38.092;153.413;30.174;2660.0;12.204;26.813;58.139;26.515;63.153;55.649;59.76;23.78;37.326;93.617;150.649;37.624;114.909;87.27;44.734;72.798;114.553;87.915
152.851;163.505;81.992;166.486;172.069;938.97;53.042;402.661;49.76;90.002;38.165;82.524;60.89;23.106;80.207;94.783;226.897;171.211;81.837;79.981;37.345;76.466;12.11;17.527;211.03;312.77;16.117;84.41;41.173;167.554;30.182;2620.0;12.385;26.158;62.987;25.743;63.974;55.863;63.248;25.326;41.22;94.537;145.213;39.561;121.654;87.81;45.197;67.608;123.354;88.401
166.718;182.913;89.037;175.473;177.462;1024.12;56.126;388.261;49.45;92.667;37.233;79.872;53.1;23.868;83.33;100.572;240.2;171.599;78.687;79.39;35.094;76.574;10.656;17.26;223.6;310.69;16.348;87.2;39.478;175.783;31.642;2767.0;11.833;26.931;64.704;26.658;65.7;58.295;60.717;26.652;43.525;104.849;142.898;40.691;125.544;79.78;42.137;71.087;129.764;93.788
173.016;181.28;96.326;190.261;178.994;1028.31;58.143;444.188;52.07;101.543;40.785;74.373;51.56;25.403;89.317;93.665;266.903;179.89;80.189;84.922;37.209;91.741;11.816;17.872;232.0;312.0;18.6;87.03;47.535;190.857;27.588;3152.48;11.905;25.623;70.143;30.116;70.527;58.018;57.856;24.762;44.212;110.366;153.635;41.6;132.351;88.86;46.984;75.972;137.974;98.091
170.056;194.673;88.754;188.227;180.847;1027.11;59.55;380.403;45.7;94.658;36.65;73.115;57.75;23.757;89.402;92.111;269.157;146.487;74.433;83.009;31.85;86.265;10.738;16.735;249.77;306.91;16.543;75.13;38.084;177.52;30.123;3201.57;10.918;27.284;71.255;29.675;67.767;56.973;50.001;24.058;39.736;109.403;142.351;36.03;134.027;77.65;44.234;58.995;136.859;96.174
176.455;190.645;94.682;209.288;180.998;1099.47;68.059;429.596;51.3;107.033;42.858;77.448;52.44;24.762;94.902;100.206;277.965;155.896;82.791;86.843;36.808;95.822;11.731;18.625;275.33;368.15;17.578;89.81;41.44;190.088;35.021;3370.25;12.931;27.853;71.839;30.269;73.682;58.167;53.415;23.035;40.57;104.366;152.11;40.567;137.664;87.55;46.173;72.542;143.174;104.428
183.913;198.183;93.339;212.146;187.411;1123.04;69.508;431.389;53.01;113.937;45.473;77.357;52.09;22.531;95.153;91.537;268.983;162.543;82.476;88.649;38.95;109.858;12.223;19.002;282.05;299.38;16.487;89.52;45.13;208.609;33.382;3344.14;12.615;27.81;72.783;30.267;74.653;58.133;56.601;21.533;39.776;100.741;140.145;40.444;135.741;91.91;50.72;72.237;148.571;106.174
189.252;215.573;88.814;209.962;190.795;1101.69;78.192;389.771;52.27;111.372;44.216;78.059;46.62;21.45;95.912;92.705;263.929;151.182;65.113;86.815;35.812;100.716;11.366;16.518;289.74;281.34;13.489;96.86;41.264;209.816;36.462;3599.0;13.18;30.231;68.21;32.467;77.441;56.224;50.098;21.07;37.901;95.278;136.536;43.85;136.056;84.31;46.761;63.789;158.187;110.193
183.694;207.089;86.796;206.188;193.281;1084.62;70.934;411.06;53.01;119.137;45.422;78.327;43.26;22.252;100.279;96.802;236.299;138.752;70.559;93.137;36.189;108.21;12.24;17.087;271.93;304.22;14.838;97.25;44.59;199.82;34.662;3717.35;13.343;31.387;69.515;35.108;78.922;61.109;52.445;21.95;39.51;100.461;144.686;46.977;137.657;88.41;49.113;73.03;154.858;107.42
